DEV ID;National ID;Letter ID;Full Name;Short Name;Tier;Class;Type;Price (Credits);Price (XP);Price (Gold);Restoration Price (Credits);Restorarion Price (Gold);Sale Price (Credits);Sale Price (Gold)
10289;40;Ch29;WZ-132-1;WZ-132-1;X;Light;Tech Tree;6.300.000;280.000;-;-;-;3.150.000;-
4145;16;Ch19;WZ-121;WZ-121;X;Medium;Tech Tree;6.100.000;275.000;-;-;-;3.050.000;-
5681;22;Ch25;121B;121B;X;Medium;Collector;-;-;15.000;-;15.000;-;7.500
11825;46;Ch48;BZ-75;BZ-75;X;Heavy;Tech Tree;6.100.000;290.000;-;-;-;3.050.000;-
5425;21;Ch22;WZ-113;WZ-113;X;Heavy;Tech Tree;6.100.000;200.000;-;-;-;3.050.000;-
14129;55;Ch57;BZT-70;BZT-70;X;Heavy;Collector;-;-;15.000;-;15.000;-;7.500
12849;50;Ch52;116-F3;116-F3;X;Heavy;Collector;-;-;15.000;-;15.000;-;7.500
11057;43;Ch44;114 SP2;114 SP2;X;Heavy;Collector;-;-;15.000;-;15.000;-;7.500
8497;33;Ch41;WZ-111 model 5A;WZ-111 5A;X;Heavy;Collector;-;-;15.000;-;15.000;-;7.500
6449;25;Ch38;WZ-113G FT;WZ-113G FT;X;TD;Tech Tree;6.100.000;350.000;-;-;-;3.050.000;-
10033;39;Ch28;WZ-132A;WZ-132A;IX;Light;Tech Tree;3.480.000;184.000;-;-;-;1.740.000;-
1841;7;Ch18;WZ-120;WZ-120;IX;Medium;Tech Tree;3.520.000;175.000;-;-;-;1.760.000;-
12081;47;Ch49;BZ-68;BZ-68;IX;Heavy;Tech Tree;3.500.000;190.000;-;-;-;1.750.000;-
2097;8;Ch12;WZ-111 model 1-4;WZ-111 1-4;IX;Heavy;Tech Tree;3.500.000;150.000;-;-;-;1.750.000;-
13873;54;Ch56;BZ-74-1;BZ-74-1;IX;Heavy;Collector;-;-;10.000;-;10.000;-;5.000
13105;51;Ch47;BZ-176;BZ-176;IX;Heavy;Collector;-;-;10.000;-;10.000;-;5.000
11569;45;Ch59;BZ-58-2;BZ-58-2;IX;Heavy;Collector;-;-;10.000;-;10.000;-;5.000
9777;38;Ch45;WZ-114;WZ-114;IX;Heavy;Collector;-;-;10.000;-;10.000;-;5.000
8241;32;Ch37;WZ-111G FT;WZ-111G FT;IX;TD;Tech Tree;3.350.000;150.000;-;-;-;1.675.000;-
14385;56;Ch40;WZ-120G FT;WZ-120G FT;IX;TD;Collector;-;-;10.000;-;10.000;-;5.000
3889;15;Ch17;WZ-132;WZ-132;VIII;Light;Tech Tree;2.410.000;122.000;-;-;-;1.205.000;-
1585;6;Ch05;T-34-2;T-34-2;VIII;Medium;Tech Tree;2.480.000;105.000;-;-;-;1.240.000;-
9521;37;Ch43;WZ-122 TM;WZ-122 TM;VIII;Medium;Premium;-;-;7.500;3.000.000;-;1.500.000;-
13617;53;Ch60;Type 59 spc;Type 59 spc;VIII;Medium;Collector;-;-;7.500;-;7.500;-;3.750
6193;24;Ch14;T-34-3;T-34-3;VIII;Medium;Collector;-;-;7.500;-;7.500;-;3.750
5937;23;Ch26;59-Patton;59-Patton;VIII;Medium;Collector;-;-;7.500;-;7.500;-;3.750
49;0;Ch01;Type 59;Type 59;VIII;Medium;Collector;-;-;7.500;-;7.500;-;3.750
12593;49;Ch50;BZ-166;BZ-166;VIII;Heavy;Tech Tree;2.600.000;120.000;-;-;-;1.300.000;-
2865;11;Ch11;WZ-110;WZ-110;VIII;Heavy;Tech Tree;2.600.000;85.000;-;-;-;1.300.000;-
64561;252;Ch23;112 Glacial;112 Glacial;VIII;Heavy;Premium;-;-;7.500;3.000.000;-;1.500.000;-
7217;28;-;WZ-112-2;WZ-112-2;VIII;Heavy;Collector;-;-;7.500;-;7.500;-;3.750
817;3;Ch03;WZ-111;WZ-111;VIII;Heavy;Collector;-;-;7.500;-;7.500;-;3.750
7985;31;Ch36;WZ-111-1G FT;WZ-111-1G FT;VIII;TD;Tech Tree;2.500.000;91.000;-;-;-;1.250.000;-
