DEV ID;National ID;Letter ID;Full Name;Short Name;Tier;Class;Type;Price (Credits);Price (XP);Price (Gold);Restoration Price (Credits);Restorarion Price (Gold);Sale Price (Credits);Sale Price (Gold)
14977;58;Pl21;CS-63;CS-63;X;Medium;Tech Tree;6.100.000;235.000;-;-;-;3.050.000;-
5505;21;Cz04;TVP T 50/51;TVP T 50/51;X;Medium;Tech Tree;6.100.000;250.200;-;-;-;3.050.000;-
385;1;It08;Progetto M40 mod. 65;Progetto 65;X;Medium;Tech Tree;6.100.000;250.200;-;-;-;3.050.000;-
18049;70;It21;Lion;Lion;X;Medium;Collector;-;-;15.000;-;15.000;-;7.500
10113;39;It20;Carro da Combattimento 45t;Carro 45t;X;Medium;Collector;-;-;15.000;-;15.000;-;7.500
17793;69;It115;Rinoceronte;Rinoceronte;X;Heavy;Tech Tree;6.100.000;275.000;-;-;-;3.050.000;-
13185;51;Cz17;Vz. 55;Vz. 55;X;Heavy;Tech Tree;6.500.000;270.000;-;-;-;3.250.000;-
7297;28;Pl15;60TP Lewandowskiego;60TP Lewandowskiego;X;Heavy;Tech Tree;6.100.000;265.000;-;-;-;3.050.000;-
4481;17;S16;Kranvagn;Kranvagn;X;Heavy;Tech Tree;6.100.000;212.500;-;-;-;3.050.000;-
20097;78;It35;Felice;Felice;X;Heavy;Collector;-;-;15.000;-;15.000;.;7.500
12161;47;S31;Strv K;Strv K;X;Heavy;Collector;-;-;15.000;-;15.000;-;7.500
19585;76;Pl29;NC 70 Błyskawica;NC 70 Błyskawica;X;TD;Tech Tree;6.100.000;320.000;-;-;-;3.050.000;-
10369;40;It21;Controcarro 3 Minotauro;Minotauro;X;TD;Tech Tree;6.500.000;292.000;-;-;-;3.250.000;-
15233;59;Pl22;CS-59;CS-59;IX;Medium;Tech Tree;3.325.000;170.000;-;-;-;1.662.500;-
5761;22;Cz02;Škoda T 50;Škoda T 50;IX;Medium;Tech Tree;3.480.000;162.000;-;-;-;1.740.000;-
641;2;It12;Prototipo Standard B;Standard B;IX;Medium;Tech Tree;3.480.000;162.350;-;-;-;1.740.000;-
17281;67;It119;Progetto C50 mod. 66;Progetto C50 mod. 66;IX;Heavy;Tech Tree;3.500.000;172.900;-;-;-;1.750.000;-
12929;50;Cz16;TNH T Vz. 51;TNH T Vz. 51;IX;Heavy;Tech Tree;3.570.000;162.000;-;-;-;1.785.000;-
7553;29;Pl05;50TP Tyszkiewicza;50TP Tyszkiewicza;IX;Heavy;Tech Tree;3.561.000;165.000;-;-;-;1.780.500;-
4225;16;S17;Emil II;Emil II;IX;Heavy;Tech Tree;3.600.000;161.950;-;-;-;1.800.000;-
3201;12;Pl08;50TP prototyp;50TP prototyp;IX;Heavy;Collector;-;-;10.000;-;10.000;-;5.000
19329;75;Pl28;SDP 60 Gonkiewicza;SDP 60 Gonkiewicza;IX;TD;Tech Tree;3.510.000;210.000;-;-;-;1.755.000;-
10625;41;It19;Controcarro 1 Mk. 2;CC 1 Mk. 2;IX;TD;Tech Tree;3.480.000;193.000;-;-;-;1.740.000;-
15489;60;Pl23;CS-53;CS-53;VIII;Medium;Tech Tree;2.100.000;120.000;-;-;-;1.050.000;-
6017;23;Cz07;TVP VTU Koncept;TVP VTU;VIII;Medium;Tech Tree;2.410.000;86.750;-;-;-;1.205.000;-
897;3;It14;P.44 Pantera;P.44 Pantera;VIII;Medium;Tech Tree;2.410.000;87.200;-;-;-;1.205.000;-
6785;26;Cz13;Škoda T 27;Škoda T 27;VIII;Medium;Premium;-;-;7.500;3.000.000;-;1.500.000;-
2945;11;It13;Progetto M35 mod. 46;Progetto 46;VIII;Medium;Premium;-;-;7.500;3.000.000;-;1.500.000;-
14721;57;S23;Strv 81;Strv 81;VIII;Medium;Collector;-;-;7.500;-;7.500;-;3.750
8577;33;S26;Lansen C;Lansen C;VIII;Medium;Collector;-;-;7.500;-;7.500;-;3.750
17025;66;It117;Progetto CC55 mod. 54;Progetto CC55 mod. 54;VIII;Heavy;Tech Tree;2.600.000;108.500;-;-;-;1.300.000;-
13697;53;Cz18;TNH 105/1000;TNH 105/1000;VIII;Heavy;Tech Tree;2.580.000;108.000;-;-;-;1.290.000;-
7809;30;Pl13;53TP Markowskiego;53TP Markowskiego;VIII;Heavy;Tech Tree;2.567.800;110.000;-;-;-;1.283.900;-
3457;13;S18;Emil I;Emil I;VIII;Heavy;Tech Tree;2.552.000;87.350;-;-;-;1.276.000;-
9089;35;Cz14;Škoda T 56;Škoda T 56;VIII;Heavy;Premium;-;-;7.500;3.000.000;-;1.500.000;-
12673;49;S32;Bofors Tornvagn;Tornvagn;VIII;Heavy;Collector;-;-;7.500;-;7.500;-;3.750
