DEV ID;National ID;Letter ID;Full Name;Short Name;Tier;Class;Type;Price (Credits);Price (XP);Price (Gold);Restoration Price (Credits);Restorarion Price (Gold);Sale Price (Credits);Sale Price (Gold)
3649;14;F18;Bat.-Châtillon 25 t;B-C 25 t;X;Light;Tech Tree;6.100.000;200.000;-;-;-;3.050.000;-
21057;82;F119;Projet Murat;Projet Murat;X;Medium;Tech Tree;6.100.000;300.000;-;-;-;3.050.000;-
8513;33;F72;AMX 30 B;AMX 30 B;X;Medium;Collector;-;-;30.000;-;15.000;-;7.500
6209;24;F10;AMX 50 B;AMX 50 B;X;Heavy;Tech Tree;6.100.000;212.100;-;-;-;3.050.000;-
4417;17;F82;AMX M4 mle. 54;AMX M4 mle. 54;X;Heavy;Collector;-;-;15.000;-;15.000;-;7.500
13889;54;F64;AMX 50 Foch (155);Foch 155;X;TD;Tech Tree;6.100.000;290.000;-;-;-;3.050.000;-
1857;7;F75;Bat.-Châtillon 25 t AP;B-C 25 t AP;IX;Light;Tech Tree;3.450.000;175.100;-;-;-;1.725.000;-
19521;76;-;Bat.-Châtillon 25 t Avenir;B-C 25 t Avenir;IX;Light;Collector;-;-;10.000;-;10.000;-;5.000
21825;85;F120;Projet Louis;Projet Louis;IX;Medium;Tech Tree;3.520.000;135.000;-;-;-;1.760.000;-
20033;78;F114;Char Futur 4;Char Futur 4;IX;Medium;Collector;-;-;10.000;-;10.000;-;5.000
5441;21;F71;AMX 30 1er prototype;AMX 30 1er prot.;IX;Medium;Collector;-;-;10.000;-;10.000;-;5.000
3905;15;F09;AMX 50 120;AMX 50 120;IX;Heavy;Tech Tree;3.565.000;185.000;-;-;-;1.782.500;-
20801;81;F115;Lorraine 50 t;Lorraine 50 t;IX;Heavy;Collector;-;-;10.000;-;10.000;-;5.000
11073;43;F37;AMX 50 Foch;Foch;IX;TD;Tech Tree;3.670.000;178.250;-;-;-;1.835.000;-
4929;19;F17;AMX 13 90;AMX 13 90;VIII;Light;Tech Tree;2.370.000;113.000;-;-;-;1.185.000;-
22081;86;F127;ELC AMX-901;ELC AMX-901;VIII;Light;Collector;-;-;7.500;-;7.500;-;3.750
17473;68;F69;AMX Defender;AMX Defender;VIII;Light;Collector;-;-;7.500;-;7.500;-;3.750
21569;84;F123;ERAC 105 Proto;ERAC 105 Proto;VIII;Medium;Tech Tree;2.480.000;122.000;-;-;-;1.240.000;-
63553;248;F68;AMX Chasseur de chars;AMX CDC;VIII;Medium;Premium;-;-;7.300;2.920.000;-;1.460.000;-
19777;77;F117;AltProto AMX 30;A.P. AMX 30;VIII;Medium;Premium;-;-;7.350;2.940.000;-;1.470.000;-
18497;72;F19;Lorraine 40 t Fearless;Lorraine Fearless;VIII;Medium;Premium;-;-;7.200;2.880.000;-;1.440.000;-
8001;31;F19;Lorraine 40 t;Lorraine 40 t;VIII;Medium;Premium;-;-;7.000;2.800.000;-;1.400.000;-
64065;250;F65;FCM 50 t;FCM 50 t;VIII;Medium;Collector;-;-;7.500;-;7.500;-;3.750
