DEV ID;National ID;Letter ID;Full Name;Short Name;Tier;Class;Type;Price (Credits);Price (XP);Price (Gold);Restoration Price (Credits);Restorarion Price (Gold);Sale Price (Credits);Sale Price (Gold)
28689;112;G125;Rheinmetall Panzerwagen;Rhm. Pzw.;X;Light;Tech Tree;6.500.000;330.700;-;-;-;3.250.000;-
14609;57;G89;Leopard 1;Leopard 1;X;Medium;Tech Tree;6.100.000;270.000;-;-;-;3.050.000;-
12305;48;G73;E 50 Ausf. M;E 50 M;X;Medium;Tech Tree;6.100.000;254.000;-;-;-;3.050.000;-
23313;91;G144;Kampfpanzer 50 t;Kpz 50 t;X;Medium;Collector;-;-;15.000;-;15.000;-;7.500
58641;229;G92;VK 72.01 (K);VK 72.01 K;X;Heavy;Tech Tree;6.100.000;245.000;-;-;-;3.050.000;-
9489;37;G56;E 100;E 100;X;Heavy;Tech Tree;6.100.000;259.000;-;-;-;3.050.000;-
6929;27;G42;Maus;Maus;X;Heavy;Tech Tree;6.100.000;245.590;-;-;-;3.050.000;-
21777;85;-;VK 90.01 (P);VK 90.01 (P);X;Heavy;Collector;-;-;15.000;-;15.000;-;7.500
11281;44;-;Kampfpanzer 70;Kpz 70;X;Heavy;Collector;-;-;15.000;-;15.000;-;7.500
19217;75;G121;Grille 15;Grille 15;X;TD;Tech Tree;6.100.000;256.250;-;-;-;3.050.000;-
12049;47;G72;Jagdpanzer E 100;Jg.Pz. E 100;X;TD;Tech Tree;6.100.000;271.000;-;-;-;3.050.000;-
28945;113;G98;Waffen F1.0;Waffen F1.0;X;TD;Collector;-;-;15.000;-;15.000;-;7.500
28433;111;G126;HWK 12;HWK 12;IX;Light;Tech Tree;3.500.000;202.500;-;-;-;1.750.000;-
28177;110;G166;LKpz.70 K;LKpz.70 K;IX;Light;Collector;-;-;10.000;-;10.000;-;5.000
14865;58;G91;Leopard Prototyp A;Leopard PT A;IX;Medium;Tech Tree;3.450.000;183.000;-;-;-;1.725.000;-
10257;40;G54;E 50;E 50;IX;Medium;Tech Tree;3.450.000;161.790;-;-;-;1.725.000;-
27921;109;G165;Erich Konzept I;Erich Konzept I;IX;Medium;Collector;-;-;10.000;-;10.000;-;5.000
20753;81;G110;Mäuschen;Mäuschen;IX;Heavy;Tech Tree;3.200.000;160.500;-;-;-;1.600.000;-
9745;38;G55;E 75;E 75;IX;Heavy;Tech Tree;3.480.000;154.000;-;-;-;1.740.000;-
7441;29;G58;VK 45.02 (P) Ausf. B;VK 45.02 B;IX;Heavy;Tech Tree;3.598.000;168.720;-;-;-;1.799.000;-
29201;114;G167;Tiger-Maus;Tiger-Maus;IX;Heavy;Collector;-;-;10.000;-;10.000;-;5.000
27409;107;G162;Projekt Kpz. 07P(E);Projekt Kpz. 07P(E);IX;Heavy;Collector;-;-;10.000;-;10.000;-;5.000
16401;64;G97;Waffenträger auf Pz. IV;WT auf Pz. IV;IX;TD;Tech Tree;3.400.000;163.500;-;-;-;1.700.000;-
7953;31;G44;Jagdtiger;Jagdtiger;IX;TD;Tech Tree;3.450.000;160.000;-;-;-;1.725.000;-
29713;116;G168;KJPZ TIII Jäger;KJPZ TIII Jäger;IX;TD;Collector;-;-;10.000;-;10.000;-;5.000
25361;99;-;Waffenträger Ritter;WT Ritter;IX;TD;Collector;-;-;10.000;-;10.000;-;5.000
18449;72;G103;Spähpanzer Ru 251;Ru 251;VIII;Light;Tech Tree;2.440.000;92.700;-;-;-;1.220.000;-
25617;100;G140;HWK 30;HWK 30;VIII;Light;Premium;-;-;7.000;2.800.000;-;1.400.000;-
62737;245;G120;leKpz M 41 90 mm;leKpz M 41 90 mm;VIII;Light;Collector;-;-;7.500;-;7.500;-;3.750
29457;115;G190;VK 19.02“闪送宝”;VK 19.02“闪送宝”;VIII;Light;Collector;-;-;7.500;-;7.500;-;3.750
13841;54;G88;Indien-Panzer;Indien-Pz.;VIII;Medium;Tech Tree;2.420.000;106.000;-;-;-;1.210.000;-
8465;33;G64;Panther II;Panther II;VIII;Medium;Tech Tree;2.390.000;88.500;-;-;-;1.195.000;-
60177;235;G106;Panther mit 8,8 cm L/71;Panther 8,8;VIII;Medium;Premium;-;-;7.300;2.920.000;-;1.460.000;-
21009;82;G119;Panzer 58;Panzer 58;VIII;Medium;Premium;-;-;7.300;2.920.000;-;1.460.000;-
27665;108;G119;Schwarzpanzer 58;Schwarzpanzer 58;VIII;Medium;Collector;-;-;7.500;-;7.500;-;3.750
26897;105;G164;Kpz. Pr.68 (P);Kpz. Pr.68 (P);VIII;Medium;Collector;-;-;7.500;-;7.500;-;3.750
