DEV ID;National ID;Letter ID;Full Name;Short Name;Tier;Class;Type;Price (Credits);Price (XP);Price (Gold);Restoration Price (Credits);Restorarion Price (Gold);Sale Price (Credits);Sale Price (Gold)
19825;77;Oth79;AC-10 Atlas;AC Atlas;X;Heavy;Tech Tree;6.500.000;290.000;-;-;-;3.250.000;-
21361;83;Oth86;Herdbreaker;Herdbreaker;IX;Medium;Collector;-;-;10.000;-;10.000;-;5.000
20849;81;Oth84;FVE Defender;FVE Defender;IX;Medium;Collector;-;-;7.500;-;7.500;-;3.750
18801;73;Oth75;mau5Tank;mau5Tank;IX;Medium;Collector;-;-;7.500;-;7.500;-;3.750
12145;47;Oth41;Glacier;Glacier;IX;Medium;Collector;-;-;10.000;-;3.000;-;1.500
3953;15;Oth11;T 55A;T 55A;IX;Medium;Collector;-;-;10.000;-;10.000;-;5.000
20081;78;Oth80;AC-09 Celeno;AC Celeno;IX;Heavy;Tech Tree;3.600.000;165.000;-;-;-;1.800.000;-
19569;76;Oth78;AC-09V Sterope;AC Sterope;IX;Heavy;Collector;-;-;10.000;-;10.000;-;5.000
19057;74;Oth76;Destiny;Destiny;IX;Heavy;Collector;-;-;10.000;-;3.000;-;1.500
17009;66;Oth68;KV-JR;KV-JR;IX;Heavy;Collector;-;-;10.000;-;3.000;-;1.500
14705;57;Oth48;Fänrik;Fänrik;IX;Heavy;Collector;-;-;10.000;-;3.000;-;1.500
11121;43;Oth38;Regressor;Regressor;IX;Heavy;Collector;-;-;10.000;-;3.000;-;1.500
18545;72;Oth74;Argonaut;Argonaut;IX;TD;Collector;-;-;10.000;-;3.000;-;1.500
14449;56;Oth47;Swindler;Swindler;VIII;Light;Collector;-;-;7.500;-;2.000;-;1.000
1905;7;-;O-47;O-47;VIII;Medium;Premium;-;-;7.300;2.920.000;-;1.460.000;-
21617;84;Oth85;Biter;Biter;VIII;Medium;Collector;-;-;7.500;-;7.500;-;3.750
15985;62;Oth52;Toxique;Toxique;VIII;Medium;Collector;-;-;7.500;-;7.500;-;3.750
15729;61;Oth51;TSL-7 Defender;TSL-7 Defender;VIII;Medium;Collector;-;-;7.500;-;7.500;-;3.750
11889;46;Oth40;Nebulon;Nebulon;VIII;Medium;Collector;-;-;7.500;-;2.000;-;1.000
10865;42;Oth37;Fixer;Fixer;VIII;Medium;Collector;-;-;7.500;-;2.000;-;1.000
9073;35;Oth30;Titan-54d;Titan-54d;VIII;Medium;Collector;-;-;7.500;-;7.500;-;3.750
20337;79;Oth81;AC-08 Taygete;AC Taygete;VIII;Heavy;Tech Tree;2.600.000;110.000;-;-;-;1.300.000;-
22641;88;Oth93;Convoyer;Convoyer;VIII;Heavy;Collector;-;-;7.500;-;7.500;-;3.750
20593;80;Oth82;AC-08V Pleione;AC Pleione;VIII;Heavy;Collector;-;-;3.500;-;3.500;-;1.750
19313;75;Oth77;Prowler;Prowler;VIII;Heavy;Collector;-;-;7.500;-;7.500;-;3.750
18289;71;Oth73;Quetzal;Quetzal;VIII;Heavy;Collector;-;-;7.500;-;2.000;-;1.000
17777;69;Oth71;Titan Strife;Titan Strife;VIII;Heavy;Collector;-;-;7.500;-;7.500;-;3.750
12913;50;Oth45;Groundtank;Groundtank;VIII;Heavy;Collector;-;-;7.500;-;7.500;-;3.750
17265;67;Oth69;Souleater;Souleater;VIII;TD;Collector;-;-;7.500;-;7.500;-;3.750
16753;65;Oth67;DTH-STR;DTH-STR;VIII;TD;Collector;-;-;7.500;-;2.000;-;1.000
12657;49;Oth44;Titan Charioteer;Titan Charioteer;VIII;TD;Collector;-;-;7.500;-;7.500;-;3.750
