DEV ID;National ID;Letter ID;Full Name;Short Name;Tier;Class;Type;Price (Credits);Price (XP);Price (Gold);Restoration Price (Credits);Restorarion Price (Gold);Sale Price (Credits);Sale Price (Gold)
20257;79;A116;XM551 Sheridan;Sheridan;X;Light;Tech Tree;6.100.000;250.000;-;-;-;3.050.000;-
21793;85;A116;XM551 Sheridan Missile;Sheridan Missile;X;Light;Collector;-;-;10;-;20;-;10
14113;55;A84;M48 Patton;M48 Patton;X;Medium;Tech Tree;6.100.000;215.000;-;-;-;3.050.000;-
15905;62;A92;M60;M60;X;Medium;Collector;-;-;15.000;-;15.000;-;7.500
22817;89;-;M-VI-Yoh;M-VI-Yoh;X;Heavy;Tech Tree;6.100.000;255.000;-;-;-;3.050.000;-
14881;58;A67;T57 Heavy Tank;T57 Heavy;X;Heavy;Tech Tree;6.100.000;250.000;-;-;-;3.050.000;-
10785;42;A69;T110E5;T110E5;X;Heavy;Tech Tree;6.100.000;240.000;-;-;-;3.050.000;-
24609;96;A128;Concept 1B;Concept 1B;X;Heavy;Collector;-;-;15.000;-;15.000;-;7.500
18977;74;A95;T95E6;T95E6;X;Heavy;Collector;-;-;15.000;-;15.000;-;7.500
13857;54;A85;T110E3;T110E3;X;TD;Tech Tree;6.100.000;290.000;-;-;-;3.050.000;-
13089;51;A83;T110E4;T110E4;X;TD;Tech Tree;6.100.000;263.750;-;-;-;3.050.000;-
28705;112;A153;XM66F;XM66F;X;TD;Collector;-;-;15.000;-;15.000;-;7.500
20001;78;A99;T92E1;T92E1;IX;Light;Tech Tree;3.600.000;170.000;-;-;-;1.800.000;-
29473;115;A175;ATAC;ATAC;IX;Light;Collector;-;-;10.000;-;10.000;-;5.000
15393;60;A89;T54E1;T54E1;IX;Medium;Tech Tree;3.600.000;170.000;-;-;-;1.800.000;-
8993;35;A63;M46 Patton;M46 Patton;IX;Medium;Tech Tree;3.450.000;174.000;-;-;-;1.725.000;-
25121;98;-;M46 Jaguar;M46 Jaguar;IX;Medium;Collector;-;-;10.000;-;10.000;-;5.000
23073;90;-;M-V-Yoh;M-V-Yoh;IX;Heavy;Tech Tree;3.640.000;172.000;-;-;-;1.820.000;-
9505;37;A66;M103;M103;IX;Heavy;Tech Tree;3.640.000;168.500;-;-;-;1.820.000;-
29217;114;A150;MBT-B;MBT-B;IX;Heavy;Premium;-;-;10.000;4.000.000;-;2.000.000;-
27425;107;A146;TL-7-120;TL-7-120;IX;Heavy;Collector;-;-;10.000;-;10.000;-;5.000
22305;87;A125;AE Phase I;AE Phase I;IX;Heavy;Collector;-;-;15.000;-;15.000;-;7.500
8737;34;A40;T95;T95;IX;TD;Tech Tree;3.500.000;165.000;-;-;-;1.750.000;-
2593;10;A14;T30;T30;IX;TD;Tech Tree;3.550.000;145.000;-;-;-;1.775.000;-
18209;71;A100;T49;T49;VIII;Light;Tech Tree;2.380.000;101.200;-;-;-;1.190.000;-
27937;109;-;T49 Fearless;T49 Fearless;VIII;Light;Premium;-;-;7.600;3.040.000;-;1.520.000;-
14625;57;A90;T69;T69;VIII;Medium;Tech Tree;2.403.000;118.000;-;-;-;1.201.500;-
